900
(0, 0, 0)
(1, 0, 53)
(2, 0, 144)
(3, 0, 194)
(4, 0, 235)
(5, 0, 307)
(6, 0, 381)
(7, 0, 435)
(8, 0, 527)
(9, 0, 629)
(10, 0, 748)
(11, 0, 866)
(12, 0, 925)
(13, 0, 1015)
(14, 0, 1089)
(15, 0, 1175)
(16, 0, 1280)
(17, 0, 1313)
(18, 0, 1340)
(19, 0, 1429)
(20, 0, 1496)
(21, 0, 1555)
(22, 0, 1632)
(23, 0, 1749)
(24, 0, 1798)
(25, 0, 1867)
(26, 0, 1946)
(27, 0, 2041)
(28, 0, 2090)
(29, 0, 2203)
(30, 56, 0)
(31, 56, 46)
(32, 56, 133)
(33, 56, 172)
(34, 56, 291)
(35, 56, 382)
(36, 56, 427)
(37, 56, 532)
(38, 56, 595)
(39, 56, 622)
(40, 56, 726)
(41, 56, 840)
(42, 56, 958)
(43, 56, 984)
(44, 56, 1004)
(45, 56, 1040)
(46, 56, 1104)
(47, 56, 1137)
(48, 56, 1232)
(49, 56, 1265)
(50, 56, 1345)
(51, 56, 1380)
(52, 56, 1471)
(53, 56, 1548)
(54, 56, 1612)
(55, 56, 1704)
(56, 56, 1792)
(57, 56, 1831)
(58, 56, 1853)
(59, 56, 1934)
(60, 166, 0)
(61, 166, 60)
(62, 166, 162)
(63, 166, 191)
(64, 166, 302)
(65, 166, 376)
(66, 166, 430)
(67, 166, 527)
(68, 166, 596)
(69, 166, 710)
(70, 166, 743)
(71, 166, 858)
(72, 166, 970)
(73, 166, 1062)
(74, 166, 1177)
(75, 166, 1206)
(76, 166, 1242)
(77, 166, 1322)
(78, 166, 1426)
(79, 166, 1475)
(80, 166, 1516)
(81, 166, 1587)
(82, 166, 1659)
(83, 166, 1709)
(84, 166, 1776)
(85, 166, 1821)
(86, 166, 1892)
(87, 166, 1930)
(88, 166, 1977)
(89, 166, 2061)
(90, 203, 0)
(91, 203, 24)
(92, 203, 60)
(93, 203, 159)
(94, 203, 227)
(95, 203, 269)
(96, 203, 354)
(97, 203, 399)
(98, 203, 490)
(99, 203, 569)
(100, 203, 627)
