n,us
1,2449
2,4885
3,7301
4,9712
5,12138
6,14560
7,16984
8,19412
9,21840
10,24307
11,26663
12,29112
13,31564
14,33916
15,36258
16,38710
17,41148
18,43576
19,46034
20,48439
21,50814
22,53227
23,55544
24,57939
25,60373
26,62745
27,65169
28,67539
29,70056
30,72521
31,74892
32,77254
33,79674
34,82077
35,84443
36,86898
37,89313
38,91599
39,93920
40,96375
41,98862
42,101204
43,103569
44,105974
45,108393
46,110770
47,113193
48,115593
49,117964
50,120362
51,122839
52,125246
53,127553
54,130012
55,132363
56,134706
57,137051
58,139504
59,141918
60,144363
61,146719
62,149186
63,151548
64,153924
65,156375
66,158711
67,161083
68,163498
69,165895
70,168297
71,170687
72,173009
73,175323
74,177733
75,180172
76,182474
77,184939
78,187357
79,189795
80,192093
81,194479
82,196883
83,199337
84,201742
85,204111
86,206468
87,208886
88,211238
89,213629
90,216013
91,218453
92,220815
93,223243
94,225629
95,228065
96,230367
97,232794
98,235178
99,237618
100,240003
