n,us
1,53
2,106
3,158
4,208
5,258
6,305
7,352
8,402
9,454
10,507
11,557
12,609
13,660
14,710
15,759
16,806
17,856
18,909
19,961
20,1012
21,1063
22,1113
23,1163
24,1215
25,1263
26,1314
27,1365
28,1413
29,1464
30,1514
31,1561
32,1610
33,1661
34,1710
35,1757
36,1804
37,1850
38,1899
39,1946
40,1995
41,2044
42,2091
43,2140
44,2189
45,2239
46,2286
47,2336
48,2385
49,2431
50,2481
51,2529
52,2577
53,2628
54,2678
55,2731
56,2782
57,2832
58,2883
59,2936
60,2986
61,3037
62,3086
63,3135
64,3187
65,3235
66,3287
67,3338
68,3385
69,3438
70,3489
71,3537
72,3589
73,3639
74,3691
75,3742
76,3794
77,3847
78,3897
79,3949
80,3995
81,4047
82,4099
83,4151
84,4203
85,4252
86,4304
87,4352
88,4403
89,4455
90,4506
91,4556
92,4606
93,4654
94,4704
95,4758
96,4809
97,4857
98,4911
99,4963
100,5012
