n,us
1,170
2,336
3,502
4,669
5,888
6,1069
7,1244
8,1415
9,1602
10,1776
11,1950
12,2142
13,2323
14,2503
15,2682
16,2882
17,3064
18,3245
19,3515
20,3699
21,3877
22,4056
23,4229
24,4420
25,4613
26,4793
27,4973
28,5147
29,5327
30,5517
31,5690
32,5867
33,6043
34,6217
35,6394
36,6568
37,6731
38,6891
39,7062
40,7235
41,7411
42,7583
43,7831
44,7996
45,8168
46,8351
47,8536
48,8709
49,8895
50,9062
51,9242
52,9421
53,9597
54,9768
55,9942
56,10104
57,10277
58,10443
59,10615
60,10787
61,10951
62,11124
63,11308
64,11474
65,11652
66,11815
67,11991
68,12169
69,12333
70,12516
71,12705
72,12883
73,13056
74,13229
75,13406
76,13573
77,13751
78,13925
79,14098
80,14265
81,14439
82,14614
83,14787
84,14973
85,15154
86,15325
87,15498
88,15669
89,15836
90,16006
91,16171
92,16340
93,16509
94,16683
95,16859
96,17032
97,17210
98,17390
99,17572
100,17884
