n,us
1,17
2,34
3,51
4,69
5,86
6,103
7,120
8,137
9,154
10,172
11,188
12,206
13,224
14,241
15,258
16,275
17,292
18,311
19,327
20,346
21,364
22,382
23,399
24,417
25,434
26,453
27,470
28,488
29,506
30,524
31,542
32,560
33,578
34,596
35,614
36,632
37,650
38,668
39,686
40,703
41,722
42,740
43,759
44,777
45,794
46,812
47,829
48,847
49,865
50,884
51,902
52,920
53,938
54,956
55,974
56,992
57,1009
58,1026
59,1043
60,1061
61,1079
62,1096
63,1114
64,1131
65,1149
66,1167
67,1185
68,1203
69,1222
70,1241
71,1259
72,1277
73,1296
74,1313
75,1331
76,1349
77,1367
78,1386
79,1406
80,1424
81,1441
82,1460
83,1478
84,1496
85,1513
86,1532
87,1550
88,1569
89,1588
90,1607
91,1626
92,1644
93,1662
94,1680
95,1698
96,1716
97,1734
98,1752
99,1770
100,1788
