n,us
1,1089086
2,1089134
3,1089206
4,1089254
5,1089310
6,1089348
7,1089398
8,1089443
9,1089495
10,1089551
11,1089605
12,1089663
13,1089735
14,1089773
15,1089802
16,1089858
17,1089891
18,1089946
19,1090021
20,1090089
21,1090143
22,1090199
23,1090237
24,1090317
25,1090393
26,1090447
27,1090508
28,1090570
29,1090629
30,1090696
31,1090742
32,1090781
33,1090836
34,1090872
35,1090905
36,1090955
37,1090993
38,1091011
39,1091034
40,1091072
41,1091140
42,1091192
43,1091237
44,1091269
45,1091340
46,1091397
47,1091473
48,1091507
49,1091549
50,1091593
51,1091640
52,1091700
53,1091722
54,1091756
55,1091786
56,1091843
57,1091875
58,1091903
59,1091956
60,1092003
61,1092041
62,1092099
63,1092145
64,1092178
65,1092207
66,1092250
67,1092305
68,1092378
69,1092409
70,1092440
71,1092491
72,1092506
73,1092517
74,1092583
75,1092643
76,1092681
77,1092737
78,1092785
79,1092842
80,1092856
81,1092907
82,1092952
83,1092992
84,1093059
85,1093104
86,1093134
87,1093190
88,1093217
89,1093272
90,1093311
91,1093369
92,1093410
93,1093466
94,1093525
95,1093569
96,1093595
97,1093635
98,1093676
99,1093725
100,1093779
