n,us
1,1923
2,1931
3,1941
4,1948
5,1959
6,1968
7,1979
8,1985
9,1996
10,2004
11,2013
12,2024
13,2033
14,2042
15,2051
16,2059
17,2066
18,2079
19,2085
20,2095
21,2102
22,2113
23,2118
24,2125
25,2132
26,2137
27,2145
28,2152
29,2160
30,2164
31,2172
32,2179
33,2190
34,2198
35,2206
36,2213
37,2219
38,2225
39,2232
40,2240
41,2247
42,2254
43,2261
44,2268
45,2276
46,2287
47,2295
48,2305
49,2317
50,2322
51,2328
52,2338
53,2347
54,2354
55,2365
56,2370
57,2377
58,2384
59,2390
60,2397
61,2405
62,2411
63,2420
64,2424
65,2433
66,2438
67,2445
68,2455
69,2459
70,2468
71,2473
72,2482
73,2490
74,2497
75,2508
76,2516
77,2525
78,2531
79,2542
80,2548
81,2554
82,2562
83,2572
84,2582
85,2589
86,2598
87,2607
88,2618
89,2628
90,2638
91,2645
92,2654
93,2661
94,2672
95,2682
96,2687
97,2694
98,2702
99,2711
100,2720
