n,us
1,50
2,56
3,63
4,68
5,74
6,77
7,80
8,86
9,90
10,98
11,102
12,108
13,114
14,120
15,125
16,130
17,134
18,142
19,148
20,153
21,157
22,162
23,167
24,172
25,177
26,182
27,187
28,191
29,198
30,205
31,208
32,214
33,219
34,225
35,228
36,231
37,235
38,239
39,245
40,250
41,256
42,260
43,265
44,271
45,276
46,281
47,286
48,291
49,295
50,300
51,305
52,308
53,315
54,320
55,326
56,331
57,336
58,341
59,349
60,353
61,358
62,363
63,367
64,373
65,377
66,383
67,388
68,392
69,398
70,403
71,407
72,415
73,421
74,427
75,431
76,438
77,445
78,451
79,457
80,461
81,467
82,473
83,479
84,485
85,490
86,496
87,500
88,505
89,512
90,519
91,524
92,530
93,535
94,541
95,548
96,553
97,559
98,565
99,573
100,578
