n,us
1,52259
2,52278
3,52303
4,52330
5,52350
6,52368
7,52386
8,52401
9,52418
10,52443
11,52463
12,52482
13,52493
14,52519
15,52542
16,52563
17,52574
18,52592
19,52613
20,52643
21,52666
22,52689
23,52711
24,52736
25,52758
26,52778
27,52791
28,52807
29,52822
30,52839
31,52852
32,52878
33,52899
34,52913
35,52939
36,52960
37,52983
38,53004
39,53019
40,53041
41,53060
42,53078
43,53101
44,53128
45,53144
46,53153
47,53176
48,53199
49,53220
50,53245
51,53259
52,53278
53,53297
54,53315
55,53330
56,53352
57,53371
58,53388
59,53412
60,53440
61,53461
62,53476
63,53498
64,53530
65,53550
66,53573
67,53589
68,53613
69,53636
70,53661
71,53679
72,53709
73,53725
74,53742
75,53766
76,53787
77,53810
78,53824
79,53849
80,53874
81,53892
82,53914
83,53927
84,53948
85,53971
86,53989
87,54011
88,54036
89,54056
90,54078
91,54099
92,54118
93,54142
94,54163
95,54179
96,54199
97,54227
98,54252
99,54270
100,54287
