n,us
1,7
2,11
3,15
4,19
5,23
6,27
7,30
8,34
9,37
10,42
11,45
12,48
13,52
14,56
15,59
16,63
17,66
18,71
19,74
20,78
21,83
22,87
23,90
24,94
25,98
26,102
27,105
28,109
29,113
30,116
31,121
32,124
33,127
34,132
35,135
36,139
37,142
38,146
39,149
40,153
41,157
42,160
43,164
44,168
45,171
46,174
47,178
48,181
49,185
50,190
51,193
52,197
53,201
54,205
55,210
56,214
57,217
58,220
59,224
60,228
61,232
62,235
63,239
64,242
65,246
66,249
67,253
68,257
69,262
70,266
71,270
72,274
73,278
74,281
75,285
76,289
77,292
78,296
79,301
80,305
81,308
82,312
83,316
84,320
85,323
86,327
87,331
88,336
89,340
90,345
91,349
92,352
93,356
94,359
95,364
96,368
97,372
98,376
99,380
100,384
